"Sr.no",,,"Village name","T.Area (ha)","Watershed command area ",,,,"Watershed Non command Area",,,,"Watershed poor quality Area",,,
,"Water shed code","Watershed name",,,"Recghare","Hilly","Forest","Total","Recghare","Hilly","Forest","Total","Recghare","Hilly","Forest","Total"
1,"07-C-54-60","GNT_C_54_Amarthaluru","Kuchipudi",1075,1074.999,0.001,0.001,1075,0,0,0,0,0,0,0,0
2,"07-C-54-60","GNT_C_54_Amarthaluru","Mulpur",1292,1291.999,0.001,0.001,1292,0,0,0,0,0,0,0,0
3,"07-C-54-60","GNT_C_54_Amarthaluru","Pedapudi",580,579.999,0.001,0.001,580,0,0,0,0,0,0,0,0
4,"07-C-54-60","GNT_C_54_Amarthaluru","Koditadiparru",513,512.999,0.001,0.001,513,0,0,0,0,512.99999999,0,0,513
5,"07-C-54-60","GNT_C_54_Amarthaluru","Moparru",877,876.999,0.001,0.001,877,0,0,0,0,876.99999999,0,0,877
6,"07-C-54-60","GNT_C_54_Amarthaluru","Turumella",485,484.999,0.001,0.001,485,0,0,0,0,484.99999999,0,0,485
7,"07-C-54-60","GNT_C_54_Amarthaluru","Amartaluru",1499,1498.999,0.001,0.001,1499,0,0,0,0,799.99999999,0,0,800
8,"07-C-54-60","GNT_C_54_Amarthaluru","Panchalavaram",914,913.999,0.001,0.001,914,0,0,0,0,913.99999999,0,0,914
9,"07-C-54-60","GNT_C_54_Amarthaluru","Govada",1650,1649.999,0.001,0.001,1650,0,0,0,0,1649.99999999,0,0,1650
10,"07-C-54-60","GNT_C_54_Amarthaluru","Yalavarru",580,579.999,0.001,0.001,580,0,0,0,0,579.99999999,0,0,580
11,"07-C-54-60","GNT_C_54_Amarthaluru","Intur",2184,2183.999,0.001,0.001,2184,0,0,0,0,2183.99999999,0,0,2184
12,"07-C-54-60","GNT_C_54_Amarthaluru","Pyapparru",433,432.999,0.001,0.001,433,0,0,0,0,432.99999999,0,0,433
13,"07-C-54-60","GNT_C_54_Amarthaluru","Bodapadu",350,349.999,0.001,0.001,350,0,0,0,0,349.99999999,0,0,350
14,"07-C-54-48","GNT_C_54_Bhattiprollu","Sivangulapalem",496,496,0,0,496,0,0,0,0,0,0,0.000001,0
15,"07-C-54-48","GNT_C_54_Bhattiprollu","Addepalli",1516,1516,0,0,1516,0,0,0,0,0,0,0.000001,0
16,"07-C-54-48","GNT_C_54_Bhattiprollu","Vellaturu",641,641,0,0,641,0,0,0,0,0,0,0.000001,0
17,"07-C-54-48","GNT_C_54_Bhattiprollu","Pesaralanka",451,451,0,0,451,0,0,0,0,0,0,0.000001,0
18,"07-C-54-48","GNT_C_54_Bhattiprollu","Pedalanka",405,405,0,0,405,0,0,0,0,0,0,0.000001,0
19,"07-C-54-48","GNT_C_54_Bhattiprollu","Oleru",1378,1378,0,0,1378,0,0,0,0,0,0,0.000001,0
20,"07-C-54-48","GNT_C_54_Bhattiprollu","Gorigapudi",499,499,0,0,499,0,0,0,0,0,0,0.000001,0
21,"07-C-54-48","GNT_C_54_Bhattiprollu","Pedapulivarru",1562,1562,0,0,1562,0,0,0,0,0,0,0.000001,0
22,"07-C-54-48","GNT_C_54_Bhattiprollu","Surepalle",456,456,0,0,456,0,0,0,0,0,0,0.000001,0
23,"07-C-54-48","GNT_C_54_Bhattiprollu","Konetipuram",517,517,0,0,517,0,0,0,0,0,0,0.000001,0
24,"07-C-54-48","GNT_C_54_Bhattiprollu","Pallekona",855,855,0,0,855,0,0,0,0,0,0,0.000001,0
25,"07-C-54-48","GNT_C_54_Bhattiprollu","Bhattiprolu",2500,2500,0,0,2500,0,0,0,0,0,0,0.000001,0
26,"07-C-54-47","GNT-C-54-Cherukupalli","Rambhotlapalem",1472,1471.99,0.01,0.01,1472,0,0,0.01,0,0,0,0.000001,0
27,"07-C-54-47","GNT-C-54-Cherukupalli","Kavur",1098,1097.99,0.01,0.01,1098,0,0,0.01,0,0,0,0.000001,0
28,"07-C-54-47","GNT-C-54-Cherukupalli","Arumbaka",1374,1373.99,0.01,0.01,1374,0,0,0.01,0,0,0,0.000001,0
29,"07-C-54-47","GNT-C-54-Cherukupalli","Ponnpalli",671,670.99,0.01,0.01,671,0,0,0.01,0,0,0,0.000001,0
30,"07-C-54-47","GNT-C-54-Cherukupalli","Nadimpalli",520,519.99,0.01,0.01,520,0,0,0.01,0,0,0,0.000001,0
31,"07-C-54-47","GNT-C-54-Cherukupalli","Gudavalli",1299,1298.99,0.01,0.01,1299,0,0,0.01,0,0,0,0.000001,0
32,"07-C-54-47","GNT-C-54-Cherukupalli","Kanagala",1249,1248.99,0.01,0.01,1249,0,0,0.01,0,0,0,0.000001,0
33,"07-C-54-47","GNT-C-54-Cherukupalli","Rajavolu",672,671.99,0.01,0.01,672,0,0,0.01,0,0,0,0.000001,0
34,"07-C-54-47","GNT-C-54-Cherukupalli","Arepalli",900,899.99,0.01,0.01,900,0,0,0.01,0,0,0,0.000001,0
35,"07-C-54-47","GNT-C-54-Cherukupalli","Balusulapalem",642,641.99,0.01,0.01,642,0,0,0.01,0,0,0,0.000001,0
36,"07-C-54-62","GNT-C-54-Duggirala","Chiluvuru",1784,1784,0,0,1784,0,0,0,0,0,0,0,0
37,"07-C-54-62","GNT-C-54-Duggirala","Tummapudi",569,569,0,0,569,0,0,0,0,0,0,0,0
38,"07-C-54-62","GNT-C-54-Duggirala","Srungarapuram",357,357,0,0,357,0,0,0,0,0,0,0,0
39,"07-C-54-62","GNT-C-54-Duggirala","Pedakonduru",1463,1463,0,0,1463,0,0,0,0,0,0,0,0
40,"07-C-54-62","GNT-C-54-Duggirala","Godavarru",676,676,0,0,676,0,0,0,0,0,0,0,0
41,"07-C-54-62","GNT-C-54-Duggirala","Chinapalem",1504,1504,0,0,1504,0,0,0,0,0,0,0,0
42,"07-C-54-62","GNT-C-54-Duggirala","Perikalapudi",575,575,0,0,575,0,0,0,0,0,0,0,0
43,"07-C-54-62","GNT-C-54-Duggirala","Morampudi",455,455,0,0,455,0,0,0,0,0,0,0,0
44,"07-C-54-62","GNT-C-54-Duggirala","K.Konduru",1004,1004,0,0,1004,0,0,0,0,0,0,0,0
45,"07-C-54-62","GNT-C-54-Duggirala","Penumuli",1410,1410,0,0,1410,0,0,0,0,0,0,0,0
46,"07-C-54-62","GNT-C-54-Duggirala","Duggirala",805,805,0,0,805,0,0,0,0,0,0,0,0
47,"07-C-54-62","GNT-C-54-Duggirala","Emani",2316,2316,0,0,2316,0,0,0,0,0,0,0,0
48,"07-C-54-62","GNT-C-54-Duggirala","Chintalapudi",375,375,0,0,375,0,0,0,0,0,0,0,0
49,"07-C-54-62","GNT-C-54-Duggirala","Devarapalli Agraharam",70,70,0,0,70,0,0,0,0,0,0,0,0
50,"07-C-54-52","GNT-C-54-Karlapalem","Yazali",2420,2419.999,0.001,0.001,2420,0,0,0.001,0,1199.99999999,0,0.000001,1200
51,"07-C-54-52","GNT-C-54-Karlapalem","Bhuddam",485,484.999,0.001,0.001,485,0,0,0.001,0,199.99999999,0,0.000001,200
52,"07-C-54-52","GNT-C-54-Karlapalem","Karlapalem",2623,2622.999,0.001,0.001,2623,0,0,0.001,0,1199.99999999,0,0.000001,1200
53,"07-C-54-52","GNT-C-54-Karlapalem","Ganapavaram",1902,1901.999,0.001,0.001,1902,0,0,0.001,0,1901.99999999,0,0.000001,1902
54,"07-C-54-52","GNT-C-54-Karlapalem","Pareli",2640,2639.999,0.001,0.001,2640,0,0,0.001,0,2639.99999999,0,0.000001,2640
55,"07-C-54-50","GNT-C-54-Kollipara","Vallabhapuram",1858,1858,0,0,1858,0,0,0,0,0,0,0.000001,0
56,"07-C-54-50","GNT-C-54-Kollipara","Munnangi",1350,1350,0,0,1350,0,0,0,0,0,0,0.000001,0
57,"07-C-54-50","GNT-C-54-Kollipara","Dhanthaluru",320,320,0,0,320,0,0,0,0,0,0,0.000001,0
58,"07-C-54-50","GNT-C-54-Kollipara","Kunchavaram",144,144,0,0,144,0,0,0,0,0,0,0.000001,0
59,"07-C-54-50","GNT-C-54-Kollipara","Athota",711,711,0,0,711,0,0,0,0,0,0,0.000001,0
60,"07-C-54-50","GNT-C-54-Kollipara","Siripuram",405,405,0,0,405,0,0,0,0,0,0,0.000001,0
61,"07-C-54-50","GNT-C-54-Kollipara","Chivaluru",518,518,0,0,518,0,0,0,0,0,0,0.000001,0
62,"07-C-54-50","GNT-C-54-Kollipara","Pidaparru",628,628,0,0,628,0,0,0,0,0,0,0.000001,0
63,"07-C-54-50","GNT-C-54-Kollipara","Kollipara",1743,1743,0,0,1743,0,0,0,0,0,0,0.000001,0
64,"07-C-54-50","GNT-C-54-Kollipara","Bommuvaripalem",1331,1331,0,0,1331,0,0,0,0,0,0,0.000001,0
65,"07-C-54-50","GNT-C-54-Kollipara","Annavaram",520,520,0,0,520,0,0,0,0,0,0,0.000001,0
66,"07-C-54-50","GNT-C-54-Kollipara","Thumuluru",582,582,0,0,582,0,0,0,0,0,0,0.000001,0
67,"07-C-54-50","GNT-C-54-Kollipara","Davuluru",1295,1295,0,0,1295,0,0,0,0,0,0,0.000001,0
68,"07-C-54-50","GNT-C-54-Kollipara","Chemudupadu",570,570,0,0,570,0,0,0,0,0,0,0.000001,0
69,"07-C-54-49","GNT-C-54-Kolluru","Ananthavaram",1030,1030,0,0,1030,0,0,0,0,0,0,0,0
70,"07-C-54-49","GNT-C-54-Kolluru","Chilumuru",475,475,0,0,475,0,0,0,0,0,0,0,0
71,"07-C-54-49","GNT-C-54-Kolluru","Ipur",915,915,0,0,915,0,0,0,0,0,0,0,0
72,"07-C-54-49","GNT-C-54-Kolluru","Gajullanka",881,881,0,0,881,0,0,0,0,0,0,0,0
73,"07-C-54-49","GNT-C-54-Kolluru","Pedalanka",760,760,0,0,760,0,0,0,0,0,0,0,0
74,"07-C-54-49","GNT-C-54-Kolluru","Kollur",1856,1856,0,0,1856,0,0,0,0,0,0,0,0
75,"07-C-54-49","GNT-C-54-Kolluru","Boddulurupadu",110,110,0,0,110,0,0,0,0,0,0,0,0
76,"07-C-54-49","GNT-C-54-Kolluru","Ravikampadu",1490,1490,0,0,1490,0,0,0,0,0,0,0,0
77,"07-C-54-49","GNT-C-54-Kolluru","Gurivindapalle",128,128,0,0,128,0,0,0,0,0,0,0,0
78,"07-C-54-49","GNT-C-54-Kolluru","Chinapulivarru",494,494,0,0,494,0,0,0,0,0,0,0,0
79,"07-C-54-49","GNT-C-54-Kolluru","Donepudi",884,884,0,0,884,0,0,0,0,0,0,0,0
80,"07-C-54-49","GNT-C-54-Kolluru","Potharlanka",1821,1821,0,0,1821,0,0,0,0,0,0,0,0
81,"07-C-54-57","GNT-C-54-Nagaram","Peddavaram",471,471,0,0,471,0,0,0,0,470.99999999,0,0.000001,471
82,"07-C-54-57","GNT-C-54-Nagaram","Thotapalle",473,473,0,0,473,0,0,0,0,472.99999999,0,0.000001,473
83,"07-C-54-57","GNT-C-54-Nagaram","Dhulipudi",1686,1686,0,0,1686,0,0,0,0,1199.99999999,0,0.000001,1200
84,"07-C-54-57","GNT-C-54-Nagaram","Pamidimarru",450,450,0,0,450,0,0,0,0,249.99999999,0,0.000001,250
85,"07-C-54-57","GNT-C-54-Nagaram","Eletipalem",1176,1176,0,0,1176,0,0,0,0,499.99999999,0,0.000001,500
86,"07-C-54-57","GNT-C-54-Nagaram","Nagaram",724,724,0,0,724,0,0,0,0,399.99999999,0,0.000001,400
87,"07-C-54-57","GNT-C-54-Nagaram","Pudivada",827,827,0,0,827,0,0,0,0,449.99999999,0,0.000001,450
88,"07-C-54-57","GNT-C-54-Nagaram","Siripudi",676,676,0,0,676,0,0,0,0,675.99999999,0,0.000001,676
89,"07-C-54-57","GNT-C-54-Nagaram","Pedapalle",1475,1475,0,0,1475,0,0,0,0,1474.99999999,0,0.000001,1475
90,"07-C-54-57","GNT-C-54-Nagaram","Pedamatlapudi",1704,1704,0,0,1704,0,0,0,0,1499.99999999,0,0.000001,1500
91,"07-C-54-57","GNT-C-54-Nagaram","Edupalle",997,997,0,0,997,0,0,0,0,996.99999999,0,0.000001,997
92,"07-C-54-57","GNT-C-54-Nagaram","Allaparru",3864,3864,0,0,3864,0,0,0,0,3863.99999999,0,0.000001,3864
93,"07-C-54-58","GNT-C-54-Nizampatnam","Nizampatnam",2276,2276,0,0,2276,-0.000001,0.000001,0.000001,0,2275.99999999,0,0.000001,2276
94,"07-C-54-58","GNT-C-54-Nizampatnam","Amudalapalle(With Marshes)",1669,1669,0,0,1669,-0.000001,0.000001,0.000001,0,999.99999999,0,0.000001,1000
95,"07-C-54-58","GNT-C-54-Nizampatnam","Pregnam",975,975,0,0,975,-0.000001,0.000001,0.000001,0,974.99999999,0,0.000001,975
96,"07-C-54-58","GNT-C-54-Nizampatnam","Muthupalle Agraharam",344,344,0,0,344,-0.000001,0.000001,0.000001,0,343.99999999,0,0.000001,344
97,"07-C-54-58","GNT-C-54-Nizampatnam","Pallapatla",590,590,0,0,590,-0.000001,0.000001,0.000001,0,349.99999999,0,0.000001,350
98,"07-C-54-58","GNT-C-54-Nizampatnam","Kuchinapudi",2006,2006,0,0,2006,-0.000001,0.000001,0.000001,0,999.99999999,0,0.000001,1000
99,"07-C-54-58","GNT-C-54-Nizampatnam","Adavuladeevi(With Marshes)",3021,3021,0,173,3021,-0.000001,0.000001,0.000001,0,2499.99999999,0,0.000001,2500
100,"07-C-54-58","GNT-C-54-Nizampatnam","Dindi(Including Marshes)",2166,2166,0,1294,2166,-0.000001,0.000001,0.000001,0,2165.99999999,0,0.000001,2166
101,"07-C-54-58","GNT-C-54-Nizampatnam","Nizampatnam forest",2964,2964,0,2964,2964,-0.000001,0.000001,0.000001,0,2963.99999999,0,0.000001,2964
102,"07-C-54-59","GNT-C-54-Ponnuru","Jupudi",633,633,0,0,633,0,0,0.000001,0,633,0,0,633
103,"07-C-54-59","GNT-C-54-Ponnuru","B. Kodur",847,847,0,0,847,0,0,0.000001,0,847,0,0,847
104,"07-C-54-59","GNT-C-54-Ponnuru","Vellaluru",466,466,0,0,466,0,0,0.000001,0,466,0,0,466
105,"07-C-54-59","GNT-C-54-Ponnuru","Mamillapalle",563,563,0,0,563,0,0,0.000001,0,0.000001,0,0,0.000001
106,"07-C-54-59","GNT-C-54-Ponnuru","Aremanda",505,505,0,0,505,0,0,0.000001,0,0.000001,0,0,0.000001
107,"07-C-54-59","GNT-C-54-Ponnuru","Dandamudi",562,562,0,0,562,0,0,0.000001,0,562,0,0,562
108,"07-C-54-59","GNT-C-54-Ponnuru","Munipalle",1032,1032,0,0,1032,0,0,0.000001,0,500,0,0,500
109,"07-C-54-59","GNT-C-54-Ponnuru","P.T.Parru",571,571,0,0,571,0,0,0.000001,0,0.000001,0,0,0.000001
110,"07-C-54-59","GNT-C-54-Ponnuru","Doppalapudi",365,365,0,0,365,0,0,0.000001,0,0.000001,0,0,0.000001
111,"07-C-54-59","GNT-C-54-Ponnuru","Mannava",1276,1276,0,0,1276,0,0,0.000001,0,600,0,0,600
112,"07-C-54-59","GNT-C-54-Ponnuru","Upparapalem",1078,1078,0,0,1078,0,0,0.000001,0,1078,0,0,1078
113,"07-C-54-59","GNT-C-54-Ponnuru","Ponnur",2614,2614,0,0,2614,0,0,0.000001,0,0.000001,0,0,0.000001
114,"07-C-54-59","GNT-C-54-Ponnuru","Kondamudi",1272,1272,0,0,1272,0,0,0.000001,0,0.000001,0,0,0.000001
115,"07-C-54-59","GNT-C-54-Ponnuru","Jadavalli",316,316,0,0,316,0,0,0.000001,0,316,0,0,316
116,"07-C-54-59","GNT-C-54-Ponnuru","Vaddimukkala",240,240,0,0,240,0,0,0.000001,0,0.000001,0,0,0.000001
117,"07-C-54-59","GNT-C-54-Ponnuru","Chintalapudi",871,871,0,0,871,0,0,0.000001,0,0.000001,0,0,0.000001
118,"07-C-54-59","GNT-C-54-Ponnuru","Vallabharaopalem",1716,1716,0,0,1716,0,0,0.000001,0,0.000001,0,0,0.000001
119,"07-C-54-59","GNT-C-54-Ponnuru","Nandur",1186,1186,0,0,1186,0,0,0.000001,0,0.000001,0,0,0.000001
120,"07-C-54-59","GNT-C-54-Ponnuru","Mulukuduru",1096,1096,0,0,1096,0,0,0.000001,0,0.000001,0,0,0.000001
121,"07-C-54-53","GNT-C-54-P.V.Palem","Komali",915,915,0,0,915,0,0,0.000001,0,0,0,0.000001,0
122,"07-C-54-53","GNT-C-54-P.V.Palem","Sangupalem Koduru",954,954,0,0,954,0,0,0.000001,0,0,0,0.000001,0
123,"07-C-54-53","GNT-C-54-P.V.Palem","Chandole",1333,1333,0,0,1333,0,0,0.000001,0,0,0,0.000001,0
124,"07-C-54-53","GNT-C-54-P.V.Palem","Pittalavanipalem",1470,1470,0,0,1470,0,0,0.000001,0,0,0,0.000001,0
125,"07-C-54-53","GNT-C-54-P.V.Palem","Khajipalem",1112,1112,0,0,1112,0,0,0.000001,0,0,0,0.000001,0
126,"07-C-54-53","GNT-C-54-P.V.Palem","Alluru",1646,1646,0,0,1646,0,0,0.000001,0,0,0,0.000001,0
127,"07-C-54-56","GNT-C-54-Repalle","Parisapadu",112,112,0,0,112,0,0,0.00001,0,0.44999999,0,0.000001,0.45
128,"07-C-54-56","GNT-C-54-Repalle","Karumuru",361,361,0,0,361,2,0,0.00001,0,360.99999999,0,0.000001,361
129,"07-C-54-56","GNT-C-54-Repalle","Bethapudi",900,900,0,0,900,6,0,0.00001,0,499.99999999,0,0.000001,500
130,"07-C-54-56","GNT-C-54-Repalle","Peteru",859,859,0,0,859,42,0,0.00001,0,299.99999999,0,0.000001,300
131,"07-C-54-56","GNT-C-54-Repalle","Penumudi",553,553,0,0,553,6,0,0.00001,0,299.99999999,0,0.000001,300
132,"07-C-54-56","GNT-C-54-Repalle","Chatragadda",449,449,0,0,449,10,0,0.00001,0,199.99999999,0,0.000001,200
133,"07-C-54-56","GNT-C-54-Repalle","Komarajugadda",693,693,0,0,693,45,0,0.00001,0,0,0,0.000001,0.000001
134,"07-C-54-56","GNT-C-54-Repalle","Nalluru",780,780,0,0,780,15,0,0.00001,0,0,0,0.000001,0.000001
135,"07-C-54-56","GNT-C-54-Repalle","Aravapalli",437,437,0,0,437,0,0,0.00001,0,436.99999999,0,0.000001,437
136,"07-C-54-56","GNT-C-54-Repalle","Repalle",1097,1097,0,0,1097,7,0,0.00001,0,599.99999999,0,0.000001,600
137,"07-C-54-56","GNT-C-54-Repalle","Uuppudi",764,764,0,0,764,0,0,0.00001,0,763.99999999,0,0.000001,764
138,"07-C-54-56","GNT-C-54-Repalle","Isukapalle",1051,1051,0,0,1051,8,0,0.00001,0,499.99999999,0,0.000001,500
139,"07-C-54-56","GNT-C-54-Repalle","Singupalem",1529,1529,0,0,1529,45,0,0.00001,0,0,0,0.000001,0
140,"07-C-54-56","GNT-C-54-Repalle","Visweswaram",317,317,0,0,317,11,0,0.00001,0,316.99999999,0,0.000001,317
141,"07-C-54-56","GNT-C-54-Repalle","Chodayapalem",1774,1774,0,0,1774,0,0,0.00001,0,1773.99999999,0,0.000001,1774
142,"07-C-54-56","GNT-C-54-Repalle","Kaithepalle",931,931,0,0,931,0,0,0.00001,0,930.99999999,0,0.000001,931
143,"07-C-54-56","GNT-C-54-Repalle","Pothumeraka(With Marshes area)",4594,4594,0,0,4594,0,0,0.00001,0,4593.99999999,0,0.000001,4594
144,"07-C-54-56","GNT-C-54-Repalle","Gangadipalem(With Marshes area)",6059,6059,0,377,6059,0,0,0.00001,0,6058.99999999,0,0.000001,6059
145,"07-C-54-55","GNT-C-54-Tenali","Kolakaluru",2558,2558,0,0,2558,0.45,0,0.000001,0.45,0,0,0.000001,0
146,"07-C-54-55","GNT-C-54-Tenali","Devarapally",11,11,0,0,11,0.000001,0,0.000001,0.000001,0,0,0.000001,0
147,"07-C-54-55","GNT-C-54-Tenali","Nandivelugu",470,470,0,0,470,0.000001,0,0.000001,0.000001,0,0,0.000001,0
148,"07-C-54-55","GNT-C-54-Tenali","Kathevaram",1696,1696,0,0,1696,0.000001,0,0.000001,0.000001,0,0,0.000001,0
149,"07-C-54-55","GNT-C-54-Tenali","Gudivada",760,760,0,0,760,0.000001,0,0.000001,0.000001,0,0,0.000001,0
150,"07-C-54-55","GNT-C-54-Tenali","Sangamjagarlamudi",370,370,0,0,370,0.000001,0,0.000001,0.000001,0,0,0.000001,0
151,"07-C-54-55","GNT-C-54-Tenali","Angalakuduru",911,911,0,0,911,0.000001,0,0.000001,0.000001,0,0,0.000001,0
152,"07-C-54-55","GNT-C-54-Tenali","Nelapadu",1473,1473,0,0,1473,0.000001,0,0.000001,0.000001,0,0,0.000001,0
