GW Watershed Name,Iwm basin names,GW Village Name,iwm village names
GNT-D-50-Macherla-Macherrla,GNT-D-50-MACHERLA-MACHRLA-MB,A.J.Madaka,Amani Jammala Madaka
GNT-C-54-Vemuru,GNT-C-54-VEMURU-MB,Abbanagudavalli,Abbanagudavalli
GNT-D-50-Kattela-Thulluru,GNT-D-50-KATTELA-THULLURU-MB,Abbarajupalem,Abbarajupalem
GNT-D-50-Challa-Challagundla,GNT-D-50-CHALLA-CHALLAGUNDLA-MB,Abbur,Abburu
GNT-C-54-Nizampatnam,GNT-C-54-NIZAMPATNAM-MB,Adavuladeevi(With Marshes),Adavuladeevi
GNT_C_54_Bhattiprollu,GNT-C-54-BHATTIPROLLU-MB,Addepalli,Addepalli
GNT-D-50-Dandi-Gurajala,GNT-D-50-DANDI-GURAJALA-MB,Adigopula,Adigoppula
GNT-C-55-Nallama-Pedanandipadu,GNT-C-55-NALLAMA-PEDANANDIPADU-MB,Adivi,Adivi
GNT-C-55-Pedda-2-Mangalagiri,GNT-C-55-PEDDA-2-MANGALAGIRI-MB,Agatavarappadu,Agatha Varappadu
GNT-C-57-Anga-Angalur,GNT-C-57-ANGA-ANGALUR-MB,Agnigundala,Agnigundala
GNT-C-57-Vola-Tangirala,GNT-C-57-VOLA-TANGIRALA-MB,Ainavolu,Inavolu
GNT-D-50-Pedda-1-Guntur,GNT-D-50-PEDD-1-GUNTUR-MB,Ainavolu,Ainavolu
GNT-D-50-Erra-2-Piduguralla,GNT-D-50- ERRA-2-PIDUGURALLA-MB,Akurajupalli,Akurajupalle
GNT-C-54-Tsunduru,GNT-C-54-TSUNDURU-MB,Alapadu,Alapadu
GNT-C-55-Boddu-Velpuru,GNT-C-55-BODDU-VELPUR-MB,Alawala,Alavala
GNT-C-54-Nagaram,GNT-C-54-NAGARAM-MB,Allaparru,Allaparru
GNT-C-54-P.V.Palem,GNT-C-54-P.V.PALEM-MB,Alluru,Allur-5
GNT-D-50-Naguleru-Dachepalle,GNT-D-50- NAGULERU-DACHAPALLI-MB,Alugumallipadu,Alugumallipadu
GNT_C_54_Amarthaluru,GNT-C-54-AMARTHALURU-MB,Amartaluru,Amruthalur-1
GNT-D-50-Atcham.-Atchampeta,GNT-D-50- ATCHAM-ATCHAMPETA-MB,Ambadipudi,Ambadipudi
GNT-D-50-Kondaveeti-Medikonduru,GNT-D-50-KONDAVEETI-MEDIKONDURU-MB,Aminabad,Aminabada
GNT-C-54-Nizampatnam,GNT-C-54-NIZAMPATNAM-MB,Amudalapalle(With Marshes),Amudalapalli
GNT-C-54-Kolluru,GNT-C-54-KOLLURU-MB,Ananthavaram,Ananthavaram-8
GNT-D-50-Kattela-Thulluru,GNT-D-50-KATTELA-THULLURU-MB,Ananthavaram,Ananthavaram-5
GNT_C_54_Bhattiprollu,GNT-C-54-BHATTIPROLLU-MB,Bhattiprolu,Addepalli
GNT-C-55-Konda-Vatticherukuru,GNT-C-55-KONDA-VATTICHERUKURU-MB,Ananthavarappadu,Ananthavarappadu
GNT-C-57-Vola-Tangirala,GNT-C-57-VOLA-TANGIRALA-MB,Andugulapadu,Andugulapadu
GNT-D-50-Lakshmi-Panidam,GNT-D-50-LAKSHMI-PANIDAM-MB,Andukuru,Andukuru
GNT-C-54-Tenali,GNT-C-54-TENALI-MB,Angalakuduru,Angalakuduru
GNT-C-57-Anga-Angalur,GNT-C-57-ANGA-ANGALUR-MB,Angaluru,Angalur
GNT-C-55-Konda-Vatticherukuru,GNT-C-55-KONDA-VATTICHERUKURU-MB,Ankireddypalem,Ankireddipalem (Rural)
GNT-C-55-Tummala-Edlapadu,GNT-C-55-TUMMALA-EDLAPADU-MB,Annaparru,Annaparru
GNT-C-54-Kollipara,GNT-C-54-KOLLIPARA-MB,Annavaram,Annavaram-10
GNT-C-55-Nallama-Pedanandipadu,GNT-C-55-NALLAMA-PEDANANDIPADU-MB,Annavaram,Annavaram-4
GNT-C-55-Ura-Rompicherla,GNT-C-55-URA-ROMPICHERLA-MB,Annavaram,Annavaram-3
GNT-C-55-Boddu-Velpuru,GNT-C-55-BODDU-VELPUR-MB,Annavarappadu,Annavarappadu-1
GNT-C-55-Pedda-2-Mangalagiri,GNT-C-55-PEDDA-2-MANGALAGIRI-MB,Anumarlapudi,Anumarlapudi
GNT-C-55-Nakka-Muppalla,GNT-C-55-NAKKA-MUPPALLA-MB,Appapuram,Appapuram
GNT_C_54_Bapatla,GNT-C-54-BAPATLA-MB,Appikatla,Appikatla
GNT-C-54-Repalle,GNT-C-54-REPALLI-MB,Aravapalli,Aravapalle
GNT-C-54-Ponnuru,GNT-C-54-PONNURU-MB,Aremanda,Aremanda
GNT-C-54-Cherukupalli,GNT-C-54-CHERUKUPALLI-MB,Arepalli,Arepalle-1
GNT-C-57-Cheja-Chejerla,GNT-C-57-CHEJA-CHEJARLA-MB,Arepalli,Arepalli Agraharam
GNT-C-54-Cherukupalli,GNT-C-54-CHERUKUPALLI-MB,Arumbaka,Arumbaka
GNT-C-54-Kollipara,GNT-C-54-KOLLIPARA-MB,Athota,Athota
GNT-C-54-Duggirala,GNT-C-54-DUGGIRALA-MB,Duggirala,Chiluvuru
GNT-C-55-Pedda-2-Mangalagiri,GNT-C-55-PEDDA-2-MANGALAGIRI-MB,Atmakur,Atmakur (Rural)
GNT-D-50-Macherla-Macherrla,GNT-D-50-MACHERLA-MACHRLA-MB,Atmakur,Atmakur-5
GNT-D-50-Eddu-Amaravathi,GNT-D-50-EDDU-AMARAVATHI-MB,Attalur,Attalur
GNT-D-50-Naguleru-Dachepalle,GNT-D-50- NAGULERU-DACHAPALLI-MB,Ayyannapalem,Ayyannapalem
GNT-C-54-Ponnuru,GNT-C-54-PONNURU-MB,B. Kodur,Brahmanakodur
GNT-C-54-Karlapalem,GNT-C-54-KARLAPAEM-MB,Karlapalem,Buddam
GNT-D-50-Lakshmi-Panidam,GNT-D-50-LAKSHMI-PANIDAM-MB,Balemarru,Balemarru
GNT-D-50-Erra-1-Rajupalem,GNT-D-50-ERRA-1-RAJUPALEM-MB,Balijepalle,Balijepalle
GNT-C-54-Vemuru,GNT-C-54-VEMURU-MB,Balijepally,Balijepalle-1
GNT-C-54-Cherukupalli,GNT-C-54-CHERUKUPALLI-MB,Balusulapalem,Balusulapalem
GNT-D-50 Mada-Pedakurapadu,GNT-D-50-MADDA-PEDAKURAPADU-MB,Balusupadu,Balusupadu-1
GNT-D-50-Pedda-1-Guntur,GNT-D-50-PEDD-1-GUNTUR-MB,Bandarupalle,Bandarupalle-2
GNT-C-55-Nallama-Pedanandipadu,GNT-C-55-NALLAMA-PEDANANDIPADU-MB,Bapatla East,Bapatla East (Rural)
GNT-C-55-Nallama-Pedanandipadu,GNT-C-55-NALLAMA-PEDANANDIPADU-MB,Bapatla West,Bapatla West (Rural)
GNT-D-50-Lakshmi-Panidam,GNT-D-50-LAKSHMI-PANIDAM-MB,Bayyavaram,Bayyavaram
GNT-D-50-Kondaveeti-Medikonduru,GNT-D-50-KONDAVEETI-MEDIKONDURU-MB,Bejatpuram,Bejatpuram
GNT-C-54-Kollipara,GNT-C-54-KOLLIPARA-MB,Kollipara,Annavaram-10
GNT-C-54-Repalle,GNT-C-54-REPALLI-MB,Bethapudi,Bethapudi-2
GNT-C-55-Isuka-2-Kondaveedu,GNT-C-55-ISSUKA-2-KONDAVEEDU-MB,Bethapudi,Bethapudi
GNT-C-55-Nakka-Muppalla,GNT-C-55-NAKKA-MUPPALLA-MB,Bhallukanudupalem,Bhallukanudupalem
GNT_C_54_Bapatla,GNT-C-54-BAPATLA-MB,Bharthipudi,Bharthipudi
GNT-D-50-Lakshmi-Panidam,GNT-D-50-LAKSHMI-PANIDAM-MB,Bhatlur,Bhatlur
GNT-D-50-Ralla-Machavaram,GNT-D-50- RALLA-MACHAVARAM-MB,Bhatrupalem,Bhatrupalem
GNT-D-50-Challa-Challagundla,GNT-D-50-CHALLA-CHALLAGUNDLA-MB,Bhimavaram,Bhimavaram-3
GNT-D-50-Eddu-Amaravathi,GNT-D-50-EDDU-AMARAVATHI-MB,Bhrugubanda,Bhrugubanda
GNT-C-54-Karlapalem,GNT-C-54-KARLAPAEM-MB,Bhuddam,Buddam
GNT-D-50-Erra-2-Piduguralla,GNT-D-50- ERRA-2-PIDUGURALLA-MB,Bodanam,Bodanam
GNT-C-54-Kolluru,GNT-C-54-KOLLURU-MB,Kollur,Ananthavaram-8
GNT_C_54_Amarthaluru,GNT-C-54-AMARTHALURU-MB,Bodapadu,Bodapadu
GNT-C-54-Kolluru,GNT-C-54-KOLLURU-MB,Boddulurupadu,Boddulurupadu
GNT-C-55-Nakka-Muppalla,GNT-C-55-NAKKA-MUPPALLA-MB,Bodipalem,Bodipalem
GNT-C-57-Pasupuleru-Vellaturu,GNT-C-57-PASUPU-VELLATURU-MB,Bollapalle ,Bollapalle-1
GNT-C-57-Pasupuleru-Vellaturu,GNT-C-57-PASUPU-VELLATURU-MB,Bollapalle Hill&Forst,Bollapalle-1
GNT-C-57-Anga-Angalur,GNT-C-57-ANGA-ANGALUR-MB,Bollapalle RF,Bollapalle-1
GNT-D-50-Remidicherla,GNT-D-50- REMIDI-REMIDICHERLA-MB,"Bollapalli,Guttikonda Hill&R.F",Forest-217
GNT-C-57-Kandaleru-1-Bollapalli-Part_Ongole,GNT-C-57-KANDLERU-1-BOLLAPALLI-PART_ONGOL-MB,Bollapally R.F,Forest-217
GNT-D-50-Naguleru-Dachepalle,GNT-D-50- NAGULERU-DACHAPALLI-MB,"Bollapally, Kakirala hill & forest",Forest-213
GNT-D-50-Challa-Challagundla,GNT-D-50-CHALLA-CHALLAGUNDLA-MB,Bollavaram,Bollavaram-3
GNT-C-57-Konkeru-Savalyapuram,GNT-C-57-KONKER-SAVALYAPURAM-MB,Bommarajupally,Bommarajupalle-1
GNT-C-54-Nagaram,GNT-C-54-NAGARAM-MB,Nagaram,Allaparru
GNT-C-54-Kollipara,GNT-C-54-KOLLIPARA-MB,Bommuvaripalem,Bommuvaripalem
GNT-C-55-Vogeru-Chilakaluripet_Part-Ongole,GNT-C-55-VOGERU-CHILAKALURIPET_PART-ONGO-MB,Boppudi,Boppudi
GNT-D-50-Kattela-Thulluru,GNT-D-50-KATTELA-THULLURU-MB,Borupalem,Borupalem
GNT-C-57-Konkeru-Savalyapuram,GNT-C-57-KONKER-SAVALYAPURAM-MB,Brahmanapalle,Brahmanapalle-18
GNT-C-55-Pedda-2-Mangalagiri,GNT-C-55-PEDDA-2-MANGALAGIRI-MB,Budampadu,Budampadu
GNT-C-54-Tenali,GNT-C-54-TENALI-MB,Burripalem,Burripalem
GNT-C-54-Nizampatnam,GNT-C-54-NIZAMPATNAM-MB,Nizampatnam,Adavuladeevi
GNT-C-54-Vemuru,GNT-C-54-VEMURU-MB,Chadalavada,Chadalawada-1
GNT-D-50-Challa-Challagundla,GNT-D-50-CHALLA-CHALLAGUNDLA-MB,Chagallu,Chagallu-3
GNT-D-50-Chintala-Taduvoy,GNT-D-50- CHINTA-TADUVOYA-MB,Challagariga,Challagariga-1
GNT-D-50-Challa-Challagundla,GNT-D-50-CHALLA-CHALLAGUNDLA-MB,Challagundla,Challagundla
GNT-C-55-Konda-Vatticherukuru,GNT-C-55-KONDA-VATTICHERUKURU-MB,Chamallamudi,Chamallamudi
GNT-D-50-Atcham.-Atchampeta,GNT-D-50- ATCHAM-ATCHAMPETA-MB,Chamarru,Chamarru
GNT-C-55-Nakka-Muppalla,GNT-C-55-NAKKA-MUPPALLA-MB,Chandavaram,Chandavaram
GNT-C-54-P.V.Palem,GNT-C-54-P.V.PALEM-MB,Chandole,Chandole
GNT-D-50-Dandi-Gurajala,GNT-D-50-DANDI-GURAJALA-MB,Charlagudipadu,Cherlagudi Padu
GNT-C-54-Repalle,GNT-C-54-REPALLI-MB,Chatragadda,Chatragadda
GNT-C-54-Vemuru,GNT-C-54-VEMURU-MB,Chavali,Chavali-1
GNT-C-55-Konda-Vatticherukuru,GNT-C-55-KONDA-VATTICHERUKURU-MB,Chebrolu,Chebrolu-1
GNT-D-50-Challa-Challagundla,GNT-D-50-CHALLA-CHALLAGUNDLA-MB,Cheemalamarri,Cheemalamarri
GNT-C-57-Cheja-Chejerla,GNT-C-57-CHEJA-CHEJARLA-MB,Chejerla,Chejerla-3
GNT-C-54-Kollipara,GNT-C-54-KOLLIPARA-MB,Chemudupadu,Chemudupadu
GNT-D-50-Ralla-Machavaram,GNT-D-50- RALLA-MACHAVARAM-MB,Chennayapalem,Chennayapalem-1
GNT-C-55-Nallama-Pedanandipadu,GNT-C-55-NALLAMA-PEDANANDIPADU-MB,Cheruvu,Cheruvu
GNT-D-50-Atcham.-Atchampeta,GNT-D-50- ATCHAM-ATCHAMPETA-MB,Chigurupadu,Chigurupadu-1
GNT-C-54-Kolluru,GNT-C-54-KOLLURU-MB,Chilumuru,Chilumuru
GNT-C-54-Ponnuru,GNT-C-54-PONNURU-MB,Ponnur,Aremanda
GNT-C-54-Duggirala,GNT-C-54-DUGGIRALA-MB,Chiluvuru,Chiluvuru
GNT-D-50-Ralla-Machavaram,GNT-D-50- RALLA-MACHAVARAM-MB,China Agraharam,China Agraharam
GNT-D-50-Julakallu-Kesanapalli,GNT-D-50-ZULAKALLU-KESANAPALLI-MB,Chinagarlpadu,Chinagarlapadu
GNT-C-55-Pedda-2-Mangalagiri,GNT-C-55-PEDDA-2-MANGALAGIRI-MB,Chinakakani,Chinakakani
GNT-D-50-Naguleru-Dachepalle,GNT-D-50- NAGULERU-DACHAPALLI-MB,Chinakodamagundla,China Kodamagundla
GNT-D-50 Mada-Pedakurapadu,GNT-D-50-MADDA-PEDAKURAPADU-MB,Chinamakkena,Chinamakkena
GNT-D-50-Pedda-1-Guntur,GNT-D-50-PEDD-1-GUNTUR-MB,Chinapalakaluru,China Palakaluru
GNT-C-54-Duggirala,GNT-C-54-DUGGIRALA-MB,Chinapalem,Chinapalem
GNT-C-54-Tsunduru,GNT-C-54-TSUNDURU-MB,Chinaparimi,Chinaparimi
GNT-C-55-Vogeru-Chilakaluripet_Part-Ongole,GNT-C-55-VOGERU-CHILAKALURIPET_PART-ONGO-MB,Chinapasumarru,Chinna Pasumarru
GNT-C-54-P.V.Palem,GNT-C-54-P.V.PALEM-MB,Pittalavanipalem,Allur-5
GNT-C-54-Kolluru,GNT-C-54-KOLLURU-MB,Chinapulivarru,Chinapulivarru
GNT-C-54-Tenali,GNT-C-54-TENALI-MB,Chinaravuru,China Ravuru (Rural)
GNT-C-55-Pedda-2-Mangalagiri,GNT-C-55-PEDDA-2-MANGALAGIRI-MB,Chinavadlapudi,Chinavadlapudi
GNT-C-57-Vola-Tangirala,GNT-C-57-VOLA-TANGIRALA-MB,Chintalacheruvu,Chintala Cheruvu-1
GNT-C-54-Duggirala,GNT-C-54-DUGGIRALA-MB,Chintalapudi,Chintalapudi-2
GNT-C-54-Ponnuru,GNT-C-54-PONNURU-MB,Chintalapudi,Chintalapudi-3
GNT-D-50-Atcham.-Atchampeta,GNT-D-50- ATCHAM-ATCHAMPETA-MB,Chintapalli,Chintapalle-1
GNT-D-50-Naguleru-Dachepalle,GNT-D-50- NAGULERU-DACHAPALLI-MB,Chintapalli,Chintapalle-2
GNT-C-55-Pedda-2-Mangalagiri,GNT-C-55-PEDDA-2-MANGALAGIRI-MB,Chirravuru,Chirravuru
GNT-C-55-Isuka-2-Kondaveedu,GNT-C-55-ISSUKA-2-KONDAVEEDU-MB,Chirumamilla,Chirumamilla
GNT-C-57-Cheja-Chejerla,GNT-C-57-CHEJA-CHEJARLA-MB,Chittapuram,Chittapuram
GNT-C-54-Repalle,GNT-C-54-REPALLI-MB,Repalle,Aravapalle
GNT-D-50-Erra-2-Piduguralla,GNT-D-50- ERRA-2-PIDUGURALLA-MB,chityala,Chityala-2
GNT-C-54-Kollipara,GNT-C-54-KOLLIPARA-MB,Chivaluru,Chivalur
GNT-C-54-Repalle,GNT-C-54-REPALLI-MB,Chodayapalem,Chodayapalem
GNT-C-55-Konda-Vatticherukuru,GNT-C-55-KONDA-VATTICHERUKURU-MB,Chowdavaram,Chowdavaram
GNT-D-50-Erra-1-Rajupalem,GNT-D-50-ERRA-1-RAJUPALEM-MB,Chowtapapayapalem,Chowtapapayapalem
GNT-C-57-Kandaleru-2-Vinukonda_Part-Ongole,GNT-C-57-KADLERU-2-VINUKONDA_PART-ONGOLE-MB,Chowtayapalem,Chowtapalem
GNT-D-50-Challa-Challagundla,GNT-D-50-CHALLA-CHALLAGUNDLA-MB,Dachavarapadu,Dechavarappadu
GNT-D-50-Gadida-Daida,GNT-D-50- GADIDA-DAIDA-MB,Daida,Daida
GNT-D-50-Nagarjuna-Macherla,GNT-D-50-NAGARJUNA-MACHERLA-MB,Damarapadu,Damarapadu
GNT-D-50-Pedda-1-Guntur,GNT-D-50-PEDD-1-GUNTUR-MB,Damarapalle,Damarapalle
GNT-D-50-Challa-Challagundla,GNT-D-50-CHALLA-CHALLAGUNDLA-MB,Dammalapudu,Dammalapadu
GNT-C-54-Ponnuru,GNT-C-54-PONNURU-MB,Dandamudi,Dandamudi
GNT-D-50 Mada-Pedakurapadu,GNT-D-50-MADDA-PEDAKURAPADU-MB,Daranikota,Dharanikota
GNT-D-50-Goli-Thumurukota,GNT-D-50- GOLI-THUMURKOTA-MB,Darivemula,Darivemula
GNT-C-55-Ura-Rompicherla,GNT-C-55-URA-ROMPICHERLA-MB,Dasaripalem,Dasaripalem
GNT-C-57-Anga-Angalur,GNT-C-57-ANGA-ANGALUR-MB,Dasullapalli,Dasullapalle
GNT-C-54-Kollipara,GNT-C-54-KOLLIPARA-MB,Davuluru,Davuluru-1
GNT-C-54-Duggirala,GNT-C-54-DUGGIRALA-MB,Devarapalli Agraharam,Devarapalle Agraharam
GNT-C-54-Tenali,GNT-C-54-TENALI-MB,Devarapally,Devarapalle Seri
GNT-C-55-Pedda-2-Mangalagiri,GNT-C-55-PEDDA-2-MANGALAGIRI-MB,Devarayabhotlapalem,Devarayabhotlapalem
GNT-C-54-Tenali,GNT-C-54-TENALI-MB,Tenali,Angalakuduru
GNT-C-54-Kollipara,GNT-C-54-KOLLIPARA-MB,Dhanthaluru,Danthalur
GNT-D-50-Dandi-Gurajala,GNT-D-50-DANDI-GURAJALA-MB,Dharmavaram,Dharmavaram-1
GNT-D-50-Challa-Challagundla,GNT-D-50-CHALLA-CHALLAGUNDLA-MB,Dhulipalla,Dhulipalla-1
GNT-C-54-Nagaram,GNT-C-54-NAGARAM-MB,Dhulipudi,Dhulipudi
GNT-D-50 Mada-Pedakurapadu,GNT-D-50-MADDA-PEDAKURAPADU-MB,Didugu,Didugu
GNT-C-54-Nizampatnam,GNT-C-54-NIZAMPATNAM-MB,Dindi(Including Marshes),Dindi
GNT-D-50-Kondaveeti-Medikonduru,GNT-D-50-KONDAVEETI-MEDIKONDURU-MB,Dogiparru,Dokiparru
GNT-C-55-Nakka-Muppalla,GNT-C-55-NAKKA-MUPPALLA-MB,Dondapadu,Dondapadu Agraharam
GNT-C-57-Pasupuleru-Vellaturu,GNT-C-57-PASUPU-VELLATURU-MB,Dondapadu,Dondapadu-1
GNT-D-50-Kattela-Thulluru,GNT-D-50-KATTELA-THULLURU-MB,Dondapadu,Dondapadu
GNT-C-54-Kolluru,GNT-C-54-KOLLURU-MB,Donepudi,Donepudi
GNT-C-54-Ponnuru,GNT-C-54-PONNURU-MB,Doppalapudi,Doppalapudi
GNT-C-55-Vogeru-Chilakaluripet_Part-Ongole,GNT-C-55-VOGERU-CHILAKALURIPET_PART-ONGO-MB,Edavalli,Edavalli-1
GNT-C-54-Tsunduru,GNT-C-54-TSUNDURU-MB,Edlapalle,Edlapalle
GNT-C-55-Rama-Prathipadu,GNT-C-55-RAMA-PRTHIPADU-MB,Edulapalem,Edulapalem
GNT-C-54-Nagaram,GNT-C-54-NAGARAM-MB,Edupalle,Edupalle
GNT-C-54-Nagaram,GNT-C-54-NAGARAM-MB,Eletipalem,Eletipalem
GNT-C-54-Vemuru,GNT-C-54-VEMURU-MB,Vemuru,Abbanagudavalli
GNT-C-55-Nalanda-Narasaraopet,GNT-C-55-NALANDA-NARASARAOPET-MB,Ellamanda,Ellamanda-1
GNT-C-54-Duggirala,GNT-C-54-DUGGIRALA-MB,Emani,Emani
GNT-D-50-Erra-2-Piduguralla,GNT-D-50- ERRA-2-PIDUGURALLA-MB,Emmajigudem,Emmajigudem
GNT-C-55-Konda-Vatticherukuru,GNT-C-55-KONDA-VATTICHERUKURU-MB,Enamadala,Enamadala
GNT-D-50-Kondaveeti-Medikonduru,GNT-D-50-KONDAVEETI-MEDIKONDURU-MB,Endroyi,Endroyi
GNT-C-57-Konkeru-Savalyapuram,GNT-C-57-KONKER-SAVALYAPURAM-MB,Enugupalem,Enugupalem-1
GNT-C-55-Nakka-Muppalla,GNT-C-55-NAKKA-MUPPALLA-MB,Erraguntlapadu,Erraguntlapadu
GNT_C_54_Bapatla,GNT-C-54-BAPATLA-MB,Etheru,Etheru
GNT-C-55-Konda-Vatticherukuru,GNT-C-55-KONDA-VATTICHERUKURU-MB,Etukuru,Etukur
GNT-C-55-Nallama-Pedanandipadu,GNT-C-55-NALLAMA-PEDANANDIPADU-MB,Forest and marshes,Bapatla (M)
GNT-C-54-Kolluru,GNT-C-54-KOLLURU-MB,Gajullanka,Gajullanka
GNT-D-50-Naguleru-Dachepalle,GNT-D-50- NAGULERU-DACHAPALLI-MB,Gamalapadu,Gamalapadu
GNT-C-54-Karlapalem,GNT-C-54-KARLAPAEM-MB,Ganapavaram,Ganapavaram-6
GNT-C-55-Nalanda-Narasaraopet,GNT-C-55-NALANDA-NARASARAOPET-MB,Ganapavaram,Ganapavaram-2
GNT-D-50-Erra-1-Rajupalem,GNT-D-50-ERRA-1-RAJUPALEM-MB,Ganapavaram,Ganapavaram-1
GNT-C-57-Kandaleru-1-Bollapalli-Part_Ongole,GNT-C-57-KANDLERU-1-BOLLAPALLI-PART_ONGOL-MB,Gandiganumala,Gandiganumala-1
GNT-C-54-Repalle,GNT-C-54-REPALLI-MB,Gangadipalem(With Marshes area),Gangadipalem
GNT-D-50-Dandi-Gurajala,GNT-D-50-DANDI-GURAJALA-MB,Gangavaram,Gangavaram-8
